,EC Filename,Wrapper Name,Kmer Size,Read - TP,Read - TN,Read - FN,Read - FN WRONG,Read - FP,Read - FP INDEL,Total Trimmed Reads,Total Reads,Base - TP,Base - TN,Base - FN,Base - FN WRONG,Base - FP,Base - FP INDEL,Base - FP TRIM,Base - TP TRIM,Total Bases,Tool,Coverage,Length,Base Sensitivity,Base Precision,Base Gain,Base Accuracy,Dataset,Trim Percent,Trim Effeciency
874,reckoner_SRR1543969_raw_19.corrected.fastq.gz,run.reckoner.sh,19,1305,40226,4958,5,66,140,54,46700,3744,11093631,9409,149,5918,3136,373,18,11116378,Reckoner,NA,100,0.28464988975899036,0.29254571026722925,-0.4037101801870296,0.9982921567851347,RSR,3.5173327139469346e-05,0.04825737265415549
875,sga_SRR1543964_raw_19.corrected.fastq.gz,run.sga.sh,19,309,39889,6424,4,73,1,1,46700,1526,11100808,11972,17,276,2,2,0,11114603,Sga,NA,100,0.11305378574603644,0.8458980044345898,0.0924581419469551,0.998896136911053,RSR,1.7994344917222864e-07,0.0
876,sga_SRR1543964_raw_24.corrected.fastq.gz,run.sga.sh,24,361,39889,6378,3,68,1,1,46700,1797,11100788,11703,15,296,2,2,0,11114603,Sga,NA,100,0.13311111111111112,0.8577565632458234,0.11103703703703703,0.9989187198139241,RSR,1.7994344917222864e-07,0.0
877,sga_SRR1543964_raw_14.corrected.fastq.gz,run.sga.sh,14,221,39889,6513,8,67,2,2,46700,1071,11100880,12418,26,203,3,3,0,11114604,Sga,NA,100,0.07939802802283343,0.8386844166014096,0.06412632515382904,0.9988615878712368,RSR,2.699151494736115e-07,0.0
878,reckoner_SRR1543969_raw_18.corrected.fastq.gz,run.reckoner.sh,18,1277,40226,4958,3,80,156,54,46700,3720,11092736,9401,185,6799,3174,374,14,11116403,Reckoner,NA,100,0.2835149759926835,0.27167165705104795,-0.4765642862586693,0.9982068817491003,RSR,3.490337656884156e-05,0.0374331550802139
879,reckoner_SRR1543969_raw_22.corrected.fastq.gz,run.reckoner.sh,22,1378,40226,4901,9,53,133,52,46700,3830,11094499,9326,146,5288,2656,382,18,11116145,Reckoner,NA,100,0.2911219215567042,0.32529301851537284,-0.31270903010033446,0.9983989027833166,RSR,3.598369758580875e-05,0.04712041884816754
880,sga_SRR1543964_raw_20.corrected.fastq.gz,run.sga.sh,20,323,39889,6407,4,76,1,1,46700,1589,11100777,11905,21,307,2,2,0,11114603,Sga,NA,100,0.11775603972135765,0.8371970495258166,0.09485697346969023,0.9988990160062398,RSR,1.7994344917222864e-07,0.0
881,sga_SRR1543964_raw_22.corrected.fastq.gz,run.sga.sh,22,340,39889,6395,3,72,1,1,46700,1714,11100770,11785,16,314,2,2,0,11114603,Sga,NA,100,0.12697236832357953,0.8443349753694581,0.10356322690569672,0.9989096326697409,RSR,1.7994344917222864e-07,0.0
882,sga_SRR1543964_raw_16.corrected.fastq.gz,run.sga.sh,16,265,39889,6472,7,65,2,1,46700,1327,11100883,12169,19,199,6,2,0,11114605,Sga,NA,100,0.09832542975696502,0.8661879895561357,0.08313574392412566,0.998884800674428,RSR,1.7994341679258957e-07,0.0
883,sga_SRR1543965_raw_16.corrected.fastq.gz,run.sga.sh,16,637,39992,6039,1,31,0,0,46700,1691,11102809,10000,10,90,0,0,0,11114600,Sga,NA,100,0.1446411769737405,0.9494665918023583,0.13694294756650416,0.9990912853364043,RSR,0.0,
884,sga_SRR1543964_raw_18.corrected.fastq.gz,run.sga.sh,18,297,39889,6440,4,69,1,1,46700,1470,11100846,12030,15,238,2,2,0,11114603,Sga,NA,100,0.10888888888888888,0.8596491228070176,0.09111111111111111,0.9988945174200105,RSR,1.7994344917222864e-07,0.0
